tx_hash,amount,currency,onchain_status,stellar_expert_link
53c5c09e7153e5fc731b8a917e157fd2c09ca5b79fbc51ffb4fc6cfddf163426,120.50,XLM,SUCCESS,https://stellar.expert/explorer/testnet/tx/53c5c09e7153e5fc731b8a917e157fd2c09ca5b79fbc51ffb4fc6cfddf163426
af8158e1e7be457ab87ab23460f05071fbf4ccf182e3a4c4d17171b5b8fe2c5f,250.00,USDC,SUCCESS,https://stellar.expert/explorer/testnet/tx/af8158e1e7be457ab87ab23460f05071fbf4ccf182e3a4c4d17171b5b8fe2c5f
dff23f47977479a8d96d9de8bc7e527e2071f8839b5c22442b1aa7e116e13581,75.25,XLM,SUCCESS,https://stellar.expert/explorer/testnet/tx/dff23f47977479a8d96d9de8bc7e527e2071f8839b5c22442b1aa7e116e13581
260ff05051ae5a9e59b33a526d84c8fcf28d5658fe8e3fedaa5df998b5adc161,500.00,USDC,SUCCESS,https://stellar.expert/explorer/testnet/tx/260ff05051ae5a9e59b33a526d84c8fcf28d5658fe8e3fedaa5df998b5adc161
be47b1a2aecbf7f15a6d8cc8b8b23b36e14d6036cf3c63ffef039d17e99dc2c6,32.10,XLM,SUCCESS,https://stellar.expert/explorer/testnet/tx/be47b1a2aecbf7f15a6d8cc8b8b23b36e14d6036cf3c63ffef039d17e99dc2c6
0bdf0bb69e664b298e5fda67e59859bc563685c2185c23a4ca03efd608d56719,180.00,USDC,SUCCESS,https://stellar.expert/explorer/testnet/tx/0bdf0bb69e664b298e5fda67e59859bc563685c2185c23a4ca03efd608d56719
9ba671b92d912bfdf65ce029c9026c661711172405daa6ea1b6ce13d92565070,95.75,XLM,SUCCESS,https://stellar.expert/explorer/testnet/tx/9ba671b92d912bfdf65ce029c9026c661711172405daa6ea1b6ce13d92565070
e0fa25f207bdb5bc9c9250abee7bcea3ec75a22ea71f9d6587c00488bae038b6,410.20,USDC,SUCCESS,https://stellar.expert/explorer/testnet/tx/e0fa25f207bdb5bc9c9250abee7bcea3ec75a22ea71f9d6587c00488bae038b6
c2cb78b8cdbab537d638cb2bdca9bffcbc4ffe4a2685164d8ffac4aaa98c9d46,60.00,XLM,SUCCESS,https://stellar.expert/explorer/testnet/tx/c2cb78b8cdbab537d638cb2bdca9bffcbc4ffe4a2685164d8ffac4aaa98c9d46
718574825c5432afab71c1ce5f98ebf3cf605ab0359d2c585f5e24baefadf1db,220.80,USDC,SUCCESS,https://stellar.expert/explorer/testnet/tx/718574825c5432afab71c1ce5f98ebf3cf605ab0359d2c585f5e24baefadf1db
7579a384cc3a171c6f445af243289b966c5c4d3c29fe9aec5358a34432e7d015,150.00,XLM,SUCCESS,https://stellar.expert/explorer/testnet/tx/7579a384cc3a171c6f445af243289b966c5c4d3c29fe9aec5358a34432e7d015
52ed4b5a41b9a7ae4cfe6fe71c6a17362e65b8ddd44e3660999658c41ad9ac80,85.50,USDC,SUCCESS,https://stellar.expert/explorer/testnet/tx/52ed4b5a41b9a7ae4cfe6fe71c6a17362e65b8ddd44e3660999658c41ad9ac80
